FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;POSAR;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES;AGRENA;FLETES;SEGURO;OTROSG
2302;3;023;DEU;3;BOG;11;9;169;1;198;1;8;2;6204490000;11;11;U;23,00;14,50;14,00;5758,00;27685270,12;0;0;0;0
2302;3;023;DEU;3;BOG;11;9;169;1;198;1;8;2;7103912000;15;53;C/T;109,81;0,02;0,02;94000,00;465331020,00;0;0;0;0
2302;3;023;DEU;3;BOG;11;9;169;1;198;1;8;2;7113190000;11;33;KG;0,33;0,33;0,33;106000,00;524734980,00;0;0;0;0
2302;3;023;DEU;3;BOG;11;9;249;1;198;1;8;1;603121000;11;11;U;3600,00;118,50;109,00;648,00;3012357,60;624,27;0;0;0
2302;3;023;DEU;3;BOG;11;9;249;1;198;1;8;1;603129000;11;11;U;37791,00;1302,49;1198,00;7004,00;32559494,80;6754,88;0;0;0
2302;3;023;DEU;3;BOG;11;9;249;1;198;1;8;1;7007210000;11;11;U;3,00;170,00;124,00;2164,85;10560657,86;1807,61;871;50;0
2302;3;023;DEU;3;BOG;11;9;249;1;199;1;8;2;301110020;11;11;U;40,00;1,25;1,00;80,00;371896,00;0;103,3;0;0
2302;3;023;DEU;3;BOG;11;9;249;1;199;1;8;2;301110090;11;11;U;52198,00;1270,75;1016,60;10723,99;50576194,29;0;9199,7;0;0
2302;3;023;DEU;3;BOG;15;3;573;1;198;1;8;2;803901200;15;33;KG;6,00;7,91;6,00;2,00;9849,82;0;0;0;0
2302;3;023;DEU;3;BOG;15;3;573;1;198;1;8;2;810901020;15;33;KG;599,00;790,59;599,00;2921,80;14389602,03;0;0;0;0
2302;3;023;DEU;3;BOG;15;3;573;1;198;1;8;2;810903000;15;33;KG;182,00;240,21;182,00;487,00;2398431,17;0;0;0;0
2302;3;023;DEU;3;BOG;15;3;573;1;198;1;8;2;810904000;15;33;KG;10,00;13,19;10,00;4,00;19699,64;0;0;0;0
2302;3;023;DEU;3;BOG;15;3;573;1;198;1;8;2;810905000;15;33;KG;21154,50;27921,06;21154,50;89873,82;442620474,85;0;0;0;0
2302;3;023;DEU;3;BOG;17;3;23;1;198;1;8;2;901211000;17;33;KG;119,60;131,00;119,60;1605,00;7668256,65;0;745;75;0
2302;3;023;DEU;3;BOG;17;9;169;1;198;1;8;2;8438809000;17;11;U;1,00;70,00;60,00;4946,00;23657905,04;0;950;0;0
2302;3;023;DEU;3;BOG;25;3;23;1;198;1;8;2;1211909000;25;33;KG;50,00;122,00;50,00;22592,00;107938476,16;0;1880,2;101,15;0
2302;3;023;DEU;3;BOG;25;3;253;1;198;1;8;1;603149000;25;11;U;1200,00;59,00;50,00;388,00;1892757,12;383,3;0;0;0
2302;3;023;DEU;3;BOG;25;3;573;1;198;1;8;1;603121000;25;11;U;9120,00;286,79;259,00;1480,80;7074724,76;1478,26;0;0;0
2302;3;023;DEU;3;BOG;25;3;573;1;198;1;8;1;603129000;25;11;U;123260,00;4284,18;3913,00;21742,80;103905137,89;21503,1;0;0;0
2302;3;023;DEU;3;BOG;25;3;573;1;198;1;8;1;603149000;25;11;U;6200,00;284,00;127,00;1849,47;8736624,03;1825,17;0;0;0
2302;3;023;DEU;3;BOG;25;3;573;1;104;2;8;2;9031809000;11;11;U;2,00;10698,00;10698,00;126000,00;602641089,00;0;33120,13;0;0
2302;3;023;DEU;3;BOG;25;3;573;1;198;2;8;2;603129000;25;11;U;220,00;7,00;3,50;35,20;173356,83;0;0;0;0
2302;3;023;DEU;3;BOG;25;5;245;1;198;1;8;2;804501000;25;33;KG;200,00;208,69;200,00;2895,02;13847575,46;0;0;0;0
2302;3;023;DEU;3;BOG;25;5;245;1;198;1;8;2;813400000;25;33;KG;30,00;31,30;30,00;1056,78;5054832,36;0;0;0;0
2302;3;023;DEU;3;BOG;25;5;245;1;104;2;8;2;8479900000;11;11;U;1,00;261,00;223,00;756,72;3609440,89;0;474;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;1;603149000;25;11;U;1700,00;86,00;75,00;531,00;2479631,94;524,34;0;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;2;804200000;25;33;KG;78,00;98,35;78,00;231,66;1116281,50;0;0;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;2;804501000;25;33;KG;25,00;31,52;25,00;63,52;306078,74;0;0;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;2;807190000;25;33;KG;6,00;7,56;6,00;11,46;55221,38;0;0;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;2;810901010;25;33;KG;440,00;554,82;440,00;2025,20;9758669,22;0;0;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;2;810901020;25;33;KG;312,50;394,04;312,50;1222,00;5888353,64;0;0;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;2;810901030;25;33;KG;94,50;119,16;94,50;296,55;1428961,76;0;0;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;2;810901040;25;33;KG;10,00;12,60;10,00;21,56;103889,44;0;0;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;2;810902000;25;33;KG;22,40;28,24;22,40;134,40;647622,52;0;0;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;2;810903000;25;33;KG;137,50;173,38;137,50;394,00;1898536,28;0;0;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;2;810904000;25;33;KG;150,00;189,14;150,00;970,00;4674061,40;0;0;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;2;810905000;25;33;KG;1161,00;1463,97;1161,00;4975,60;23975525,67;0;0;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;2;810909010;25;33;KG;4,00;5,04;4,00;15,71;75700,52;0;0;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;2;810909020;25;33;KG;10,00;12,60;10,00;33,16;159785,43;0;0;0;0
2302;3;023;DEU;3;BOG;25;7;827;1;198;1;8;2;810909090;25;33;KG;70,20;88,51;70,20;475,02;2288940,87;0;0;0;0
2302;3;023;DEU;3;BOG;25;8;618;1;198;1;8;1;603121000;25;11;U;51140,00;1900,93;1671,80;9278,40;45231627,69;9154,76;0;0;0
2302;3;023;DEU;3;BOG;25;8;618;1;198;1;8;1;603129000;25;11;U;227040,00;7949,29;6863,26;37632,60;184480548,08;36050,21;0;0;0
2302;3;023;DEU;3;BOG;25;8;618;1;198;1;8;1;603193000;25;11;U;4000,00;273,06;233,18;680,00;3344879,20;673,69;0;0;0
2302;3;023;DEU;3;BOG;25;8;618;1;198;1;8;1;603199090;25;11;U;3420,00;129,70;110,76;649,80;3196327,21;644,67;0;0;0
2302;3;023;DEU;3;BOG;25;9;149;1;104;2;8;2;9031809000;11;11;U;1,00;869,00;850,00;8000,00;38797200,00;0;3579;0;0
